wavelength_nm,R_ELW-1,R_ELW-2,R_ELW-3,R_ELW-4,R_ELW-5,R_ELW-C,R_plain_lime_lit,R_purdue_benchmark,AM1.5G_irr_W_m2_nm
2080.0,0.9731348141198469,0.9716683100342647,0.9746557654010235,0.9706560223296016,0.9760059736704112,0.9690911672535047,0.65,0.981,0.086812
2090.0,0.9729376750834667,0.9714547823418961,0.9745009810978634,0.9704487486036933,0.9758854807642816,0.9688514460821555,0.65,0.981,0.0891
2100.0,0.9727342729815223,0.971234355606544,0.9743395077304636,0.9702350774082975,0.975757891184452,0.9686038409924204,0.65,0.981,0.086133
2110.0,0.9725241917845693,0.9710065676108056,0.9741708916825242,0.9700145895868906,0.9756227375402741,0.9683478190336068,0.65,0.981,0.089654
2120.0,0.9723071650399119,0.9707711215934128,0.9739948568610137,0.9697870182555131,0.9754797506536234,0.9680830370715507,0.65,0.981,0.087588
2130.0,0.9720830928965875,0.9705279054090549,0.9738113222085607,0.9695522656203749,0.9753288766029609,0.9678093641708513,0.65,0.981,0.089774
2140.0,0.9718520511371946,0.9702770019155333,0.973620409995207,0.9693104115598165,0.9751702837379227,0.96752689399739,0.65,0.981,0.090767
2150.0,0.971614291275247,0.9700186895109825,0.9734224439468153,0.9690617130683312,0.9750043587655877,0.9672359459622016,0.65,0.981,0.084639
2160.0,0.9713702315680789,0.9697534326120026,0.973217937149529,0.9688065944749591,0.9748316919413906,0.966937054814544,0.65,0.981,0.08417
2170.0,0.9711204396303345,0.9694818627854557,0.9730075705922907,0.9685456292007043,0.9746530523657542,0.9666309494471804,0.65,0.981,0.081996
2180.0,0.9708656080904807,0.9692047520884364,0.9727921640402477,0.9682795145832795,0.9744693552547758,0.9663185226463853,0.65,0.981,0.081808
